areaName,Borough,areaType,2010 median rent for 1B,2011 median rent for 1B,2012 median rent for 1B,2013 median rent for 1B,2014 median rent for 1B,2015 median rent for 1B,2016 median rent for 1B,2017 median rent for 1B,2018 median rent for 1B,2019 median rent for 1B,2020 median rent for 1B,2021 median rent for 1B,2022 median rent for 1B,2023 estimated median rent for 1B  (using 8 months in 2023)
Midwood,Brooklyn,neighborhood,#NUM!,1300,1300,1305.5,1361.5,1462.5,1572.5,1604,1650,1690,1749.5,1725,1912.5,1949.5
Mill Basin,Brooklyn,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Morningside Heights,Manhattan,neighborhood,1998,2222.5,2397,2387.5,3347.5,2875,2850,2795,2650,3340.5,2850,3020.5,3236.5,3547.5
Morris Heights,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,1295,1295,#NUM!,1413,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Morris Park,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,1400,1425,1475,1537.5,1575,1600,#NUM!,#NUM!,#NUM!,#NUM!
Morrisania,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Mott Haven,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1700,#NUM!,1975,1980,2062.5,2148,2287.5,2360,2733.5
NYC,NULL,city,2632,2797.5,2882.5,2856,2775,2750,2750,2622.5,2532.5,2600,2597,2425,2925,3385
New Hyde Park,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Nolita,Manhattan,neighborhood,2650,2869,3296.5,3079,3197.5,3297.5,3172.5,3250,3196.5,3246.5,2947,3047.5,4010.5,4122.5
North Brooklyn,Brooklyn,submarket,2500,2700,2925,2887.5,2938,2969.5,2956,2758.5,2682.5,2910,2899.5,2950,3825,4076
North Corona,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1550,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Northeast Queens,Queens,submarket,1350,1300,1400,1400,1525,1600,1695,1675,1712.5,1750,1750.5,1775,1862.5,1997.5
Northwest Brooklyn,Brooklyn,submarket,2151,2375,2500,2600,2660,2697.5,2715.5,2761,2872.5,3029,2922.5,3125,3775,3956
Northwest Queens,Queens,submarket,1811.5,1900,2724,2150,2047.5,2050,2100,2075,2023.5,2150,2087.5,1955,2450,3021.5
Norwood,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1269,1400,1419,1475,1522.5,1550,#NUM!,1767.5,1781.5
Oakland Gardens,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1700,#NUM!,#NUM!,#NUM!,1885,1895,2100
Ocean Parkway,Brooklyn,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Old Mill Basin,Brooklyn,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Ozone Park,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Park Slope,Brooklyn,neighborhood,2000,2212.5,2300,2400,2387.5,2525,2525,2447.5,2525,2606,2525,2550,2950,3198
Parkchester,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,1195,#NUM!,1425,1410,1422.5,1480,#NUM!,#NUM!,#NUM!,#NUM!
Pelham Bay,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Pelham Gardens,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Pelham Parkway,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1750,1675,1750,1799
Pomonok,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Port Morris,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Prospect Heights,Brooklyn,neighborhood,1800,2075,2100,2112.5,2250,2350,2375,2515,2549.5,2600,2595,3037.5,3897.5,4125
Prospect Lefferts Gardens,Brooklyn,neighborhood,#NUM!,#NUM!,1337.5,1375,1500,1556.5,1748,1813.5,1877.5,1910,1875,1860,2137.5,2500
Prospect Park,Brooklyn,submarket,1825,2100,2200,2175,2225,2373,2350,2268.5,2325,2400,2348.5,2275,2723.5,3075
Prospect Park South,Brooklyn,neighborhood,#NUM!,#NUM!,1190,1437.5,1572.5,1675,1800,1760,1796.5,1941.5,1843,1812.5,2085,2412.5
Queens,Queens,borough,1400,1568,2375,1737.5,1792.5,1837.5,1912.5,1887.5,1887,1925,1912.5,1875,2137,2387.5
Queens Village,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Red Hook,Brooklyn,neighborhood,1469,#NUM!,2000,2000,#NUM!,2450,2293.5,2300,2642,2113,2250,2000,#NUM!,3000
Rego Park,Queens,neighborhood,1350,1400,1450,1619.5,1706.5,1847.5,1994,1925,1822.5,1862.5,1845,1875,2033,2275
Richmond Hill,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1450,1400,1523,#NUM!,#NUM!,#NUM!,1613,#NUM!,#NUM!
Ridgewood,Queens,neighborhood,#NUM!,#NUM!,2025,#NUM!,#NUM!,1799,1747.5,1849,1875,1849,1900,2075,2300,2500
Riverdale,Bronx,neighborhood,1500,1475,1500,1600,1699.5,1812,1825,1844,1849.5,1878.5,1925,1957.5,2100,2257
Rockaway All,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,1300,#NUM!,1603,1571.5,1695,1725,1693.5,1807,1905.5,2100
